,user,followers,biography,business_account,has_joined_recently,is_verified
0,bestofvanity,9286,\u2693\ufe0f Bretonne expatri\u00e9e \ud83c\uddeb\ud83c\uddf7 Antibes \u2708\ufe0f Globe trotteuse \ud83c\udf0d Gourmande \ud83c\udf6a Profitant de chaque instant \ud83c\udf78 Beauty Addict \ud83c\udf3f Naturel \ud83c\udf35 Z\u00e9ro d\u00e9chet ? \ud83d\udcaa\ud83c\udffc\ud83d\uddd1,True,Irrelevant,False
1,deedeeparis,68181,\u2716\ufe0fParisian journalist \u0026 lifestyle blogger since 2005\u2716\ufe0f#deedeepariscityguide \u2716\ufe0f Repr\u00e9sent\u00e9e par @quarksbyemilie,True,Irrelevant,False
2,saeve_france,10464,"1\u00e8re marque de cosm\u00e9tiques transmettant \u00e0 la peau les pouvoirs brevet\u00e9s de la S\u00e8ve fra\u00eeche de Bouleau bio\ud83d\udca7et du Chaga bio \ud83c\udf44, champignon miraculeux.",True,Irrelevant,False
3,lilibarbery,40337,Founder of wellness \u0026 lifestyle blog http://lilibarbery.com. Author of Pimp My Breakfast book (Ed. Marabout). Kundalini yoga teacher,True,Irrelevant,True
4,misswofficiel,2808,Marque fran\u00e7aise de maquillage certifi\u00e9e bio. Les formules riches en actifs et en pigments naturels conf\u00e8rent aux produits une qualit\u00e9 incomparable.,True,Irrelevant,False
5,julesetmoa,1655,\ud83c\udf31Julesetmoa LE BLOG\ud83c\udf31\n#Blog #lifestyle #family #travel #zerodechet\n\ud83c\udf31MumOf3 : \ud83d\udc66\ud83c\udffb2007 #TDAH \ud83d\udc66\ud83c\udffc2010 \ud83d\udc67\ud83c\udffc2014\n\ud83c\udf31Live in #yvelines #france,True,Irrelevant,False
6,mangoandsalt,106172,"\ud83c\uddeb\ud83c\uddf7 Expat\u2019 \u00e0 Amsterdam\n\ud83d\udcd6 \""Green Life\"" aux \u00e9ditions Larousse\n\ud83c\udfa4 Podcast \""Tout ce que j'aime\""\n\ud83c\udf3f Conscious Lifestyle\n\ud83c\udf4b Veggie food\n\ud83d\udc97 Books \u0026 plants",True,Irrelevant,False
7,whatwhatjune,303,\ud83c\udf3fORGANIC \u0026 ZERO WASTE\ud83c\udf3f\n\u2661 Just Laugh \u2022 Just Love \u2022 Just Live \u2661\n\ud83c\udf0d Every little bit we do can make a difference\n\ud83d\udccdMontpellier \u3030\ufe0f WOOOV.fr\n\u2193LAST POSTS\u2193,True,Irrelevant,False
8,justine_porcelaine,34741,C\u00e9ramiste \u0026 Youtube \ud83c\udf52 \nC\u00f4te d'Azur \ud83c\udf34\nMes cr\u00e9ations : @les_petites_porcelaines \ud83d\udda4,True,Irrelevant,False
9,thymetromarin.versailles,241,"Boutique de d\u00e9coration, objets de curiosit\u00e9\n\ud83d\udccdVersailles 13 rue de la Paroisse\n\ud83d\udccd S\u00e8vres 2 rue de Ville d'Avray",True,Irrelevant,False
